Palavra-Chave,Respostas
22VF,"*22ª Vara JEF*
E-mail: 22sepip.ba@trf1.jus.br

Telefones:
10:00h às 15:00h
(71)   3616-4348
(71) 98193-3494

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-22VaraFederaldeJuizadoEspecialCivel
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/22-vara-jef"
22-VF,"*22ª Vara JEF*
E-mail: 22sepip.ba@trf1.jus.br

Telefones:
10:00h às 15:00h
(71)   3616-4348
(71) 98193-3494

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-22VaraFederaldeJuizadoEspecialCivel
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/22-vara-jef"
22vJEF,"*22ª Vara JEF*
E-mail: 22sepip.ba@trf1.jus.br

Telefones:
10:00h às 15:00h
(71)   3616-4348
(71) 98193-3494

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-22VaraFederaldeJuizadoEspecialCivel
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/22-vara-jef"
22VF,"*22ª Vara JEF*
E-mail: 22sepip.ba@trf1.jus.br

Telefones:
10:00h às 15:00h
(71)   3616-4348
(71) 98193-3494

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-22VaraFederaldeJuizadoEspecialCivel
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/22-vara-jef"
22VF,"*22ª Vara JEF*
E-mail: 22sepip.ba@trf1.jus.br

Telefones:
10:00h às 15:00h
(71)   3616-4348
(71) 98193-3494

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-22VaraFederaldeJuizadoEspecialCivel
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/22-vara-jef"
22-VF,"*22ª Vara JEF*
E-mail: 22sepip.ba@trf1.jus.br

Telefones:
10:00h às 15:00h
(71)   3616-4348
(71) 98193-3494

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-22VaraFederaldeJuizadoEspecialCivel
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/22-vara-jef"
22jef,"*22ª Vara JEF*
E-mail: 22sepip.ba@trf1.jus.br

Telefones:
10:00h às 15:00h
(71)   3616-4348
(71) 98193-3494

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-22VaraFederaldeJuizadoEspecialCivel
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/22-vara-jef"
22ª vara,"*22ª Vara JEF*
E-mail: 22sepip.ba@trf1.jus.br

Telefones:
10:00h às 15:00h
(71)   3616-4348
(71) 98193-3494

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-22VaraFederaldeJuizadoEspecialCivel
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/22-vara-jef"
23VF,"*23ª Vara JEF*
E-mail: 23sepip@trf1.jus.br

Telefones:
09:00h às 18:00h
(71) 3616-4647
(71) 3616-4349

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-23VaraFederaldeJuizadoEspecialCivel 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/23-vara-jef"
23VF,"*23ª Vara JEF*
E-mail: 23sepip@trf1.jus.br

Telefones:
09:00h às 18:00h
(71) 3616-4647
(71) 3616-4349

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-23VaraFederaldeJuizadoEspecialCivel 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/23-vara-jef"
23-VF,"*23ª Vara JEF*
E-mail: 23sepip@trf1.jus.br

Telefones:
09:00h às 18:00h
(71) 3616-4647
(71) 3616-4349

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-23VaraFederaldeJuizadoEspecialCivel 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/23-vara-jef"
23vJEF,"*23ª Vara JEF*
E-mail: 23sepip@trf1.jus.br

Telefones:
09:00h às 18:00h
(71) 3616-4647
(71) 3616-4349

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-23VaraFederaldeJuizadoEspecialCivel 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/23-vara-jef"
23VF,"*23ª Vara JEF*
E-mail: 23sepip@trf1.jus.br

Telefones:
09:00h às 18:00h
(71) 3616-4647
(71) 3616-4349

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-23VaraFederaldeJuizadoEspecialCivel 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/23-vara-jef"
23VF,"*23ª Vara JEF*
E-mail: 23sepip@trf1.jus.br

Telefones:
09:00h às 18:00h
(71) 3616-4647
(71) 3616-4349

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-23VaraFederaldeJuizadoEspecialCivel 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/23-vara-jef"
23-VF,"*23ª Vara JEF*
E-mail: 23sepip@trf1.jus.br

Telefones:
09:00h às 18:00h
(71) 3616-4647
(71) 3616-4349

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-23VaraFederaldeJuizadoEspecialCivel 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/23-vara-jef"
23jef,"*23ª Vara JEF*
E-mail: 23sepip@trf1.jus.br

Telefones:
09:00h às 18:00h
(71) 3616-4647
(71) 3616-4349

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-23VaraFederaldeJuizadoEspecialCivel 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/23-vara-jef"
23ª vara,"*23ª Vara JEF*
E-mail: 23sepip@trf1.jus.br

Telefones:
09:00h às 18:00h
(71) 3616-4647
(71) 3616-4349

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-23VaraFederaldeJuizadoEspecialCivel 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/23-vara-jef"
Alagoinhas,"*Subseção Judiciária de Alagoinhas*
E-mail: 01vara.alh@trf1.jus.br 

Telefones:  
(75) 98864-6553
(75)   3422-6729

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-SSJdeAlagoinhas-VaraFederalCiveleCriminal 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/subsecao-judiciaria-de-alagoinhas"
alagoinha,"*Subseção Judiciária de Alagoinhas*
E-mail: 01vara.alh@trf1.jus.br 

Telefones:  
(75) 98864-6553
(75)   3422-6729

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-SSJdeAlagoinhas-VaraFederalCiveleCriminal 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/subsecao-judiciaria-de-alagoinhas"
Barreiras,"*Subseção Judiciária de Barreiras*
E-mail: 01vara.bes@trf1.jus.br 

Telefone:  
(77) 3611-8896

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-SSJdeBarreiras-VaraFederalCiveleCriminal 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/subsecao-judiciaria-de-barreiras"
barreira,"*Subseção Judiciária de Barreiras*
E-mail: 01vara.bes@trf1.jus.br 

Telefone:  
(77) 3611-8896

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-SSJdeBarreiras-VaraFederalCiveleCriminal 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/subsecao-judiciaria-de-barreiras"
Bom Jesus da Lapa,"*Subseção Judiciária de Bom Jesus da Lapa*
E-mail: 01vara.bmp@trf1.jus.br 

Telefone:  
(77) 3481-2026

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-SSJdeBomJesusdaLapa-VaraFederalCiveleCriminal 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/subsecao-judiciaria-de-bom-jesus-da-lapa"
lapa,"*Subseção Judiciária de Bom Jesus da Lapa*
E-mail: 01vara.bmp@trf1.jus.br 

Telefone:  
(77) 3481-2026

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-SSJdeBomJesusdaLapa-VaraFederalCiveleCriminal 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/subsecao-judiciaria-de-bom-jesus-da-lapa"
bom jesus,"*Subseção Judiciária de Bom Jesus da Lapa*
E-mail: 01vara.bmp@trf1.jus.br 

Telefone:  
(77) 3481-2026

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-SSJdeBomJesusdaLapa-VaraFederalCiveleCriminal 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/subsecao-judiciaria-de-bom-jesus-da-lapa"
Campo Formoso,"*Subseção Judiciária de Campo Formoso*
E-mail: sepip.01.vara.cfs@trf1.jus.br 
certidaopje.01vara.cfs@trf1.jus.br 

Telefones:  
(74) 3645-1605
(74) 99963-2212
Adm. SESAP - (74) 98816-0246

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-SSJdeCampoFormoso-VaraFederalCiveleCriminal  
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link https://www.trf1.jus.br/sjba/enderecos-e-telefones/subsecao-judiciaria-de-campo-formoso"
Eunápolis,"*Subseção Judiciária de Eunápolis*
E-mail: 01vara.eus@trf1.jus.br 

Telefones:  
(73)   3261-7070

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Agendamento de *cargas/vistas processos físicos, mediante prévio agendamento* no site: https://outlook.office365.com/owa/calendar/SSJEUS01VARA1VaraFederaldeEunpolisBA@trf1.jus.br/bookings/ 

Balcão Virtual: *09 às 16h*https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-SSJdeEunapolis-VaraFederalCiveleCriminalal 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link https://www.trf1.jus.br/sjba/enderecos-e-telefones/subsecao-judiciaria-de-eunapolis"
eunapolis,"*Subseção Judiciária de Eunápolis*
E-mail: 01vara.eus@trf1.jus.br 

Telefones:  
(73)   3261-7070

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Agendamento de *cargas/vistas processos físicos, mediante prévio agendamento* no site: https://outlook.office365.com/owa/calendar/SSJEUS01VARA1VaraFederaldeEunpolisBA@trf1.jus.br/bookings/ 

Balcão Virtual: *09 às 16h*https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-SSJdeEunapolis-VaraFederalCiveleCriminalal 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link https://www.trf1.jus.br/sjba/enderecos-e-telefones/subsecao-judiciaria-de-eunapolis"
eunapoli,"*Subseção Judiciária de Eunápolis*
E-mail: 01vara.eus@trf1.jus.br 

Telefones:  
(73)   3261-7070

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Agendamento de *cargas/vistas processos físicos, mediante prévio agendamento* no site: https://outlook.office365.com/owa/calendar/SSJEUS01VARA1VaraFederaldeEunpolisBA@trf1.jus.br/bookings/ 

Balcão Virtual: *09 às 16h*https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-SSJdeEunapolis-VaraFederalCiveleCriminalal 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link https://www.trf1.jus.br/sjba/enderecos-e-telefones/subsecao-judiciaria-de-eunapolis"
Feira de Santana,"*Subseção Judiciária de Feira de Santana*

(75) 3221-6274 das 9:00h às 15:00h
(75) 3623-1682 das 9:00h às 15:00h
(75) 3221-7929 das 9:00h às 15:00h

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

*1ª Vara*
01vara.fsa@trf1.jus.br 

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-SSJdeFeiradeSantana-1VaraFederalCiveleCriminal 

*2ª Vara*
02vara.fsa@trf1.jus.br 

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-SSJdeFeiradeSantana-2VaraFederalCiveleCriminal 

*3ª Vara*
03vara.fsa@trf1.jus.br 

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-SSJdeFeiradeSantana-3VaraFederalCiveleCriminal 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/subsecao-judiciaria-de-feira-de-santana"
feira,"*Subseção Judiciária de Feira de Santana*

(75) 3221-6274 das 9:00h às 15:00h
(75) 3623-1682 das 9:00h às 15:00h
(75) 3221-7929 das 9:00h às 15:00h

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

*1ª Vara*
01vara.fsa@trf1.jus.br 

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-SSJdeFeiradeSantana-1VaraFederalCiveleCriminal 

*2ª Vara*
02vara.fsa@trf1.jus.br 

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-SSJdeFeiradeSantana-2VaraFederalCiveleCriminal 

*3ª Vara*
03vara.fsa@trf1.jus.br 

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-SSJdeFeiradeSantana-3VaraFederalCiveleCriminal 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/subsecao-judiciaria-de-feira-de-santana"
FERA DE SANTANA,"*Subseção Judiciária de Feira de Santana*

(75) 3221-6274 das 9:00h às 15:00h
(75) 3623-1682 das 9:00h às 15:00h
(75) 3221-7929 das 9:00h às 15:00h

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

*1ª Vara*
01vara.fsa@trf1.jus.br 

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-SSJdeFeiradeSantana-1VaraFederalCiveleCriminal 

*2ª Vara*
02vara.fsa@trf1.jus.br 

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-SSJdeFeiradeSantana-2VaraFederalCiveleCriminal 

*3ª Vara*
03vara.fsa@trf1.jus.br 

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-SSJdeFeiradeSantana-3VaraFederalCiveleCriminal 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/subsecao-judiciaria-de-feira-de-santana"
FEIRA SANTANA,"*Subseção Judiciária de Feira de Santana*

(75) 3221-6274 das 9:00h às 15:00h
(75) 3623-1682 das 9:00h às 15:00h
(75) 3221-7929 das 9:00h às 15:00h

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

*1ª Vara*
01vara.fsa@trf1.jus.br 

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-SSJdeFeiradeSantana-1VaraFederalCiveleCriminal 

*2ª Vara*
02vara.fsa@trf1.jus.br 

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-SSJdeFeiradeSantana-2VaraFederalCiveleCriminal 

*3ª Vara*
03vara.fsa@trf1.jus.br 

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-SSJdeFeiradeSantana-3VaraFederalCiveleCriminal 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/subsecao-judiciaria-de-feira-de-santana"
Guanambi,"*Subseção Judiciária de Guanambi*
E-mail: 01vara.gnb@trf1.jus.br
sepip.01vara.gnb@trf1.jus.br 

Telefone:
(77) 99989-2194

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-SSJdeGuanambi-VaraFederalCiveleCriminal 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link:  https://www.trf1.jus.br/sjba/enderecos-e-telefones/subsecao-judiciaria-de-guanambi"
Ilhéus,"*Subseção Judiciária de Ilhéus*
E-mail: 01vara.ils@trf1.jus.br 

Telefones:
(73) 99983-8319
(73)   3634-7225

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-SSJdeIlheus-VaraFederalCiveleCriminal 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos nhttps://www.trf1.jus.br/sjba/enderecos-e-telefones/subsecao-judiciaria-de-ilheuseus.htm"
ilheus,"*Subseção Judiciária de Ilhéus*
E-mail: 01vara.ils@trf1.jus.br 

Telefones:
(73) 99983-8319
(73)   3634-7225

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-SSJdeIlheus-VaraFederalCiveleCriminal 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos nhttps://www.trf1.jus.br/sjba/enderecos-e-telefones/subsecao-judiciaria-de-ilheuseus.htm"
ilheu,"*Subseção Judiciária de Ilhéus*
E-mail: 01vara.ils@trf1.jus.br 

Telefones:
(73) 99983-8319
(73)   3634-7225

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-SSJdeIlheus-VaraFederalCiveleCriminal 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos nhttps://www.trf1.jus.br/sjba/enderecos-e-telefones/subsecao-judiciaria-de-ilheuseus.htm"
irece,"*Subseção Judiciária de Irecê*
E-mail: 
01vara.iee@trf1.jus.br
01gabju.iee@trf1.jus.br
01gajus.iee@trf1.jus.br

Telefones:
(74) 98101-6858 - Plantão
(74) 3641-3910 - Fixo

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-SSJdeIrece-VaraFederalCiveleCriminal 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/subsecao-judiciaria-de-irece"
Irecê,"*Subseção Judiciária de Irecê*
E-mail: 
01vara.iee@trf1.jus.br
01gabju.iee@trf1.jus.br
01gajus.iee@trf1.jus.br

Telefones:
(74) 98101-6858 - Plantão
(74) 3641-3910 - Fixo

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-SSJdeIrece-VaraFederalCiveleCriminal 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/subsecao-judiciaria-de-irece"
Itabuna,"*Subseção Judiciária de Itabuna*
E-mail: sepju.itb@trf1.jus.br - SEPJU

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

*1ª Vara*
01vara.itb@trf1.jus.br

Telefones:
(73) 99987-9184 (09h às 15h)
(73) 99902-1606

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-SSJdeItabuna-1VaraFederalCiveleCriminal 

*2ª Vara*
02vara.itb@trf1.jus.br

Telefones:
(73) 3215-3388 / ramal 8117 
(73) 99987-9371

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-SSJdeItabuna-2VaraFederalCiveleCriminal 
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/subsecao-judiciaria-de-itabuna"
jequié,"*Subseção Judiciária de Jequié*
E-mail: 01vara.jee@trf1.jus.br

Telefone:
(73) 99981-6140

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-SSJdeJequie-VaraFederalCiveleCriminal   
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/subsecao-judiciaria-de-jequie"
jequie,"*Subseção Judiciária de Jequié*
E-mail: 01vara.jee@trf1.jus.br

Telefone:
(73) 99981-6140

🧔🏻 Para *consulta detalhada do seu processo do JEF*, clique no link: 
https://wa.me/557734238934  e siga as orientações.

Balcão Virtual: *09 às 16h*  https://trf1-apps-balcao-virtual.azurefd.net/meeting/TRF1-SJBA-SSJdeJequie-VaraFederalCiveleCriminal   
Se precisar de orientações sobre este canal de atendimento, digite *Balcão Virtual*

Mais contatos no link: https://www.trf1.jus.br/sjba/enderecos-e-telefones/subsecao-judiciaria-de-jequie"
